Lacika:
Budavári Palota;Magyarország;Budapest
Walk Of Fame;Amerikai Egyesült Államok;Los Angeles
Old Town Square;Csehország;Prága
Uspenski Cathedral;Helsinki;Finnország
Christiansborg Palace;København;Dánia
Yangmingshan National Park;Taipei City;Tajvan
Kreml;Moszkva;Oroszország
Vid:
Conor Mcgregor;Dublin;Ireland
Jon jones;New York;USA
Charles Olivera;São Paulo;Brazil
Dustin Porier;Louisiana;USA
Israel Adesanya;Lagos;Nigeria
Andrew Tate;Washington;USA
Elon Musk;Dél-afrikai Köztársaság;Africa
